=== register: 100301|44f0 ===
[2604] 0100|00|00|05|fa0001||100301|44f0||...D.||259,61508

=== register: 100301|54e0 ===
[1328] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1347] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1368] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1405] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1427] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1447] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1470] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1489] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1510] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1528] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1549] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1572] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1595] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1613] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1629] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1648] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1689] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1708] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1731] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1750] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1770] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1788] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1809] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1831] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1855] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1874] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1895] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1914] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1947] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1970] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1993] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2012] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2034] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2054] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2075] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2098] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2122] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2142] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2163] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2181] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2197] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2235] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2248] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2267] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2288] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2306] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
